ano;cnae_2_descricao_secao;salario_medio;variable
2011;Atividades Profissionais, Científicas E Técnicas;984.3448191293684;Admissões
2011;"Comércio; Reparação De Veículos Automotores E Motocicletas";818.3819651927099;Admissões
2011;Construção;713.1972015730053;Admissões
2011;Educação;867.9162626262627;Admissões
2011;Indústrias De Transformação;1344.9243344970544;Admissões
2011;Informação E Comunicação;993.7402458547741;Admissões
2011;Outras Atividades De Serviços;737.9202941176471;Admissões
2011;Saúde Humana E Serviços Sociais;964.2344896957801;Admissões
2011;Serviços Domésticos;231.26999999999998;Admissões
2011;Transporte, Armazenagem E Correio;919.6431000304972;Admissões
2011;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;989.5552631578947;Admissões
2012;Administração Pública, Defesa E Seguridade Social;918.7475968222444;Admissões
2012;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;483.51599999999996;Admissões
2012;Alojamento E Alimentação;809.043262402869;Admissões
2012;Artes, Cultura, Esporte E Recreação;748.0825641025641;Admissões
2012;Atividades Administrativas E Serviços Complementares;834.0577688331498;Admissões
2012;Atividades Financeiras, De Seguros E Serviços Relacionados;1580.9856348661633;Admissões
2012;Atividades Imobiliárias;1062.7101219512194;Admissões
2012;Atividades Profissionais, Científicas E Técnicas;964.0362950373894;Admissões
2012;"Comércio; Reparação De Veículos Automotores E Motocicletas";897.9150625804187;Admissões
2012;Construção;791.7864463342353;Admissões
2012;Educação;851.3089720946663;Admissões
2012;Indústrias De Transformação;1451.716942926147;Admissões
2012;Indústrias Extrativas;883.0369131832797;Admissões
2012;Informação E Comunicação;1437.0742401656314;Admissões
2012;Outras Atividades De Serviços;866.6532456140351;Admissões
2012;Saúde Humana E Serviços Sociais;791.9884432387313;Admissões
2012;Serviços Domésticos;182.83333333333334;Admissões
2012;Transporte, Armazenagem E Correio;1005.5227311762001;Admissões
2012;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;1161.9435294117648;Admissões
2013;Administração Pública, Defesa E Seguridade Social;1058.9843450442065;Admissões
2013;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;1141.7142857142858;Admissões
2013;Alojamento E Alimentação;872.9443191015783;Admissões
2013;Artes, Cultura, Esporte E Recreação;824.886368159204;Admissões
2013;Atividades Administrativas E Serviços Complementares;966.8674033240086;Admissões
2013;Atividades Financeiras, De Seguros E Serviços Relacionados;1595.8661167684998;Admissões
2013;Atividades Imobiliárias;1090.7546226415095;Admissões
2013;Atividades Profissionais, Científicas E Técnicas;1017.9750467289721;Admissões
2013;"Comércio; Reparação De Veículos Automotores E Motocicletas";954.0391313319308;Admissões
2013;Construção;781.7742000527148;Admissões
2013;Educação;905.5807355579475;Admissões
2013;Eletricidade E Gás;2852.0;Admissões
2013;Indústrias De Transformação;1625.297492989344;Admissões
2013;Indústrias Extrativas;1412.631868131868;Admissões
2013;Informação E Comunicação;1256.8172945945946;Admissões
2013;Organismos Internacionais E Outras Instituições Extraterritoriais;2044.388888888889;Admissões
2013;Outras Atividades De Serviços;857.3193498817967;Admissões
2013;Saúde Humana E Serviços Sociais;1159.8012242849975;Admissões
2013;Serviços Domésticos;688.2;Admissões
2013;Transporte, Armazenagem E Correio;1123.9917131018717;Admissões
2013;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;1049.4058348294436;Admissões
2014;Administração Pública, Defesa E Seguridade Social;1335.1504903893544;Admissões
2014;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;867.6666666666666;Admissões
2014;Alojamento E Alimentação;779.6446960424316;Admissões
2014;Artes, Cultura, Esporte E Recreação;1060.6797885196374;Admissões
2014;Atividades Administrativas E Serviços Complementares;929.0685294714759;Admissões
2014;Atividades Financeiras, De Seguros E Serviços Relacionados;1880.3973422712934;Admissões
2014;Atividades Imobiliárias;817.1826498422713;Admissões
2014;Atividades Profissionais, Científicas E Técnicas;1244.0580706921944;Admissões
2014;"Comércio; Reparação De Veículos Automotores E Motocicletas";1125.3745686070686;Admissões
2014;Construção;979.1788439220354;Admissões
2014;Educação;1008.728561067595;Admissões
2014;Indústrias De Transformação;1623.615459751309;Admissões
2014;Indústrias Extrativas;1594.6686046511627;Admissões
2014;Informação E Comunicação;1408.2625782838552;Admissões
2014;Organismos Internacionais E Outras Instituições Extraterritoriais;2012.7058823529412;Admissões
2014;Outras Atividades De Serviços;1020.2509322033899;Admissões
2014;Saúde Humana E Serviços Sociais;1121.8272293144207;Admissões
2014;Serviços Domésticos;984.5454545454545;Admissões
2014;Transporte, Armazenagem E Correio;1116.355036803365;Admissões
2014;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;1233.4288547486035;Admissões
2015;Administração Pública, Defesa E Seguridade Social;1775.4582555650684;Admissões
2015;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;857.1;Admissões
2015;Alojamento E Alimentação;891.8497813822286;Admissões
2015;Artes, Cultura, Esporte E Recreação;1109.0506329113923;Admissões
2015;Atividades Administrativas E Serviços Complementares;1014.7336147980795;Admissões
2015;Atividades Financeiras, De Seguros E Serviços Relacionados;1905.4462735381567;Admissões
2015;Atividades Imobiliárias;1133.6948181818182;Admissões
2015;Atividades Profissionais, Científicas E Técnicas;1273.0302307137706;Admissões
2015;"Comércio; Reparação De Veículos Automotores E Motocicletas";1154.6472959476055;Admissões
2015;Construção;851.1171248264546;Admissões
2015;Educação;1223.1145409334354;Admissões
2015;Eletricidade E Gás;1187.9405263157894;Admissões
2015;Indústrias De Transformação;1695.9753513035794;Admissões
2015;Indústrias Extrativas;1647.142857142857;Admissões
2015;Informação E Comunicação;1334.2857297605474;Admissões
2015;Organismos Internacionais E Outras Instituições Extraterritoriais;1751.8333333333333;Admissões
2015;Outras Atividades De Serviços;1087.4086722866175;Admissões
2015;Saúde Humana E Serviços Sociais;1202.976150206978;Admissões
2015;Serviços Domésticos;1305.0;Admissões
2015;Transporte, Armazenagem E Correio;1231.1219411961245;Admissões
2015;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;1416.747443365696;Admissões
2016;Administração Pública, Defesa E Seguridade Social;1713.1697856854023;Admissões
2016;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;1189.0;Admissões
2016;Alojamento E Alimentação;1062.5217152500768;Admissões
2016;Artes, Cultura, Esporte E Recreação;1199.2320846905538;Admissões
2016;Atividades Administrativas E Serviços Complementares;1089.4471032525648;Admissões
2016;Atividades Financeiras, De Seguros E Serviços Relacionados;1847.9647956403269;Admissões
2016;Atividades Imobiliárias;1297.8203100775195;Admissões
2016;Atividades Profissionais, Científicas E Técnicas;1603.0906009852217;Admissões
2016;"Comércio; Reparação De Veículos Automotores E Motocicletas";1330.865441769256;Admissões
2016;Construção;1050.6043079154579;Admissões
2016;Educação;1229.887354157097;Admissões
2016;Eletricidade E Gás;8000.0;Admissões
2016;Indústrias De Transformação;1820.9326375711576;Admissões
2016;Indústrias Extrativas;1604.739052631579;Admissões
2016;Informação E Comunicação;1846.7162648626486;Admissões
2016;Organismos Internacionais E Outras Instituições Extraterritoriais;1190.75;Admissões
2016;Outras Atividades De Serviços;1213.392415143603;Admissões
2016;Saúde Humana E Serviços Sociais;995.3880056777856;Admissões
2016;Serviços Domésticos;1562.0;Admissões
2016;Transporte, Armazenagem E Correio;1393.3921561604584;Admissões
2016;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;1520.779064516129;Admissões
2017;Administração Pública, Defesa E Seguridade Social;1914.24857240671;Admissões
2017;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;574.070303030303;Admissões
2017;Alojamento E Alimentação;1075.677905579399;Admissões
2017;Artes, Cultura, Esporte E Recreação;1333.3567741935483;Admissões
2017;Atividades Administrativas E Serviços Complementares;1263.1599094618718;Admissões
2017;Atividades Financeiras, De Seguros E Serviços Relacionados;2583.6876062176166;Admissões
2017;Atividades Imobiliárias;1502.1893548387097;Admissões
2017;Atividades Profissionais, Científicas E Técnicas;2275.139728448276;Admissões
2017;"Comércio; Reparação De Veículos Automotores E Motocicletas";1427.3208781255084;Admissões
2017;Construção;1491.6484481086325;Admissões
2017;Educação;1576.87290866783;Admissões
2017;Indústrias De Transformação;2191.1727497425336;Admissões
2017;Indústrias Extrativas;849.5421875;Admissões
2017;Informação E Comunicação;1836.2492491955668;Admissões
2017;Organismos Internacionais E Outras Instituições Extraterritoriais;1166.0;Admissões
2017;Outras Atividades De Serviços;1174.249420103093;Admissões
2017;Saúde Humana E Serviços Sociais;1531.2853587443947;Admissões
2017;Transporte, Armazenagem E Correio;1340.4655103550297;Admissões
2017;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;1594.6844600938966;Admissões
2018;Administração Pública, Defesa E Seguridade Social;1648.836214511041;Admissões
2018;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;1341.04;Admissões
2018;Alojamento E Alimentação;1151.828692229558;Admissões
2018;Artes, Cultura, Esporte E Recreação;1774.5640173410404;Admissões
2018;Atividades Administrativas E Serviços Complementares;1249.2724809040494;Admissões
2018;Atividades Financeiras, De Seguros E Serviços Relacionados;2589.7482544861336;Admissões
2018;Atividades Imobiliárias;1427.2377070063694;Admissões
2018;Atividades Profissionais, Científicas E Técnicas;2327.6930758426965;Admissões
2018;"Comércio; Reparação De Veículos Automotores E Motocicletas";1391.7900938404712;Admissões
2018;Construção;703.3785056673606;Admissões
2018;Educação;1456.393157640232;Admissões
2018;Eletricidade E Gás;8910.0;Admissões
2018;Indústrias De Transformação;1946.2779011461316;Admissões
2018;Indústrias Extrativas;1948.3454545454545;Admissões
2018;Informação E Comunicação;2203.446906137184;Admissões
2018;Outras Atividades De Serviços;1448.1214268440144;Admissões
2018;Saúde Humana E Serviços Sociais;1743.6549778493757;Admissões
2018;Transporte, Armazenagem E Correio;1352.74981400209;Admissões
2018;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;1680.706;Admissões
2019;Administração Pública, Defesa E Seguridade Social;1619.362697368421;Admissões
2019;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;1285.268611111111;Admissões
2019;Alojamento E Alimentação;1194.3406133150934;Admissões
2019;Artes, Cultura, Esporte E Recreação;1549.9292537313434;Admissões
2019;Atividades Administrativas E Serviços Complementares;2068.1250301960417;Admissões
2019;Atividades Financeiras, De Seguros E Serviços Relacionados;3232.376089482859;Admissões
2019;Atividades Imobiliárias;1450.320197044335;Admissões
2019;Atividades Profissionais, Científicas E Técnicas;3347.8436312849162;Admissões
