nivel_territorial_codigo;nivel_territorial;unidade_de_medida_codigo;unidade_de_medida;pib_corrente;municipio_codigo;municipio;ano_codigo;ano;variavel_codigo;variavel;ipca_normalizado;pib_deflacionado;variavel_dash
6;Município;40;Mil Reais;16822884.0;3534401;Osasco (SP);2007;2007;6575;Valor adicionado bruto a preços correntes dos serviços, exclusive administração, defesa, educação e saúde públicas e seguridade social;0.44630386514668785;37693789.621272445;Serviços
6;Município;40;Mil Reais;1300613.0;3534401;Osasco (SP);2007;2007;525;Valor adicionado bruto a preços correntes da administração, defesa, educação e saúde públicas e seguridade social;0.44630386514668785;2914187.1750819907;Administração
6;Município;40;Mil Reais;32426014.0;3534401;Osasco (SP);2008;2008;37;Produto Interno Bruto a preços correntes;0.4726357931903424;68606767.55165097;Total
6;Município;40;Mil Reais;6919672.0;3534401;Osasco (SP);2008;2008;543;Impostos, líquidos de subsídios, sobre produtos a preços correntes;0.4726357931903424;14640600.859472513;Impostos
6;Município;40;Mil Reais;226.0;3534401;Osasco (SP);2008;2008;513;Valor adicionado bruto a preços correntes da agropecuária;0.4726357931903424;478.1694557546641;Agropecuária
6;Município;40;Mil Reais;2281214.0;3534401;Osasco (SP);2008;2008;517;Valor adicionado bruto a preços correntes da indústria;0.4726357931903424;4826579.012566019;Indústria
6;Município;40;Mil Reais;21724052.0;3534401;Osasco (SP);2008;2008;6575;Valor adicionado bruto a preços correntes dos serviços, exclusive administração, defesa, educação e saúde públicas e seguridade social;0.4726357931903424;45963620.00719479;Serviços
6;Município;40;Mil Reais;1500849.0;3534401;Osasco (SP);2008;2008;525;Valor adicionado bruto a preços correntes da administração, defesa, educação e saúde públicas e seguridade social;0.4726357931903424;3175487.3871678403;Administração
6;Município;40;Mil Reais;36990810.0;3534401;Osasco (SP);2009;2009;37;Produto Interno Bruto a preços correntes;0.4930063958768461;75031095.55852573;Total
6;Município;40;Mil Reais;7118718.0;3534401;Osasco (SP);2009;2009;543;Impostos, líquidos de subsídios, sobre produtos a preços correntes;0.4930063958768461;14439402.9358156;Impostos
6;Município;40;Mil Reais;305.0;3534401;Osasco (SP);2009;2009;513;Valor adicionado bruto a preços correntes da agropecuária;0.4930063958768461;618.6532315823943;Agropecuária
6;Município;40;Mil Reais;2271513.0;3534401;Osasco (SP);2009;2009;517;Valor adicionado bruto a preços correntes da indústria;0.4930063958768461;4607471.665676784;Indústria
6;Município;40;Mil Reais;25893589.0;3534401;Osasco (SP);2009;2009;6575;Valor adicionado bruto a preços correntes dos serviços, exclusive administração, defesa, educação e saúde públicas e seguridade social;0.4930063958768461;52521811.51513553;Serviços
6;Município;40;Mil Reais;1706686.0;3534401;Osasco (SP);2009;2009;525;Valor adicionado bruto a preços correntes da administração, defesa, educação e saúde públicas e seguridade social;0.4930063958768461;3461792.8170374758;Administração
6;Município;40;Mil Reais;43499785.0;3534401;Osasco (SP);2010;2010;37;Produto Interno Bruto a preços correntes;0.5221430738731677;83310087.17079413;Total
6;Município;40;Mil Reais;8577136.0;3534401;Osasco (SP);2010;2010;543;Impostos, líquidos de subsídios, sobre produtos a preços correntes;0.5221430738731677;16426792.634394778;Impostos
6;Município;40;Mil Reais;407.0;3534401;Osasco (SP);2010;2010;513;Valor adicionado bruto a preços correntes da agropecuária;0.5221430738731677;779.479840613309;Agropecuária
6;Município;40;Mil Reais;2955428.0;3534401;Osasco (SP);2010;2010;517;Valor adicionado bruto a preços correntes da indústria;0.5221430738731677;5660188.074653834;Indústria
6;Município;40;Mil Reais;30259746.0;3534401;Osasco (SP);2010;2010;6575;Valor adicionado bruto a preços correntes dos serviços, exclusive administração, defesa, educação e saúde públicas e seguridade social;0.5221430738731677;57952977.86014549;Serviços
6;Município;40;Mil Reais;1707068.0;3534401;Osasco (SP);2010;2010;525;Valor adicionado bruto a preços correntes da administração, defesa, educação e saúde públicas e seguridade social;0.5221430738731677;3269349.121759411;Administração
6;Município;40;Mil Reais;47614554.0;3534401;Osasco (SP);2011;2011;37;Produto Interno Bruto a preços correntes;0.5560823736749235;85625001.3560665;Total
6;Município;40;Mil Reais;9974583.0;3534401;Osasco (SP);2011;2011;543;Impostos, líquidos de subsídios, sobre produtos a preços correntes;0.5560823736749235;17937240.006515607;Impostos
6;Município;40;Mil Reais;404.0;3534401;Osasco (SP);2011;2011;513;Valor adicionado bruto a preços correntes da agropecuária;0.5560823736749235;726.5110694484476;Agropecuária
6;Município;40;Mil Reais;3077381.0;3534401;Osasco (SP);2011;2011;517;Valor adicionado bruto a preços correntes da indústria;0.5560823736749235;5534038.023292905;Indústria
6;Município;40;Mil Reais;32650490.0;3534401;Osasco (SP);2011;2011;6575;Valor adicionado bruto a preços correntes dos serviços, exclusive administração, defesa, educação e saúde públicas e seguridade social;0.5560823736749235;58715203.97998972;Serviços
6;Município;40;Mil Reais;1911697.0;3534401;Osasco (SP);2011;2011;525;Valor adicionado bruto a preços correntes da administração, defesa, educação e saúde públicas e seguridade social;0.5560823736749235;3437794.6334935375;Administração
6;Município;40;Mil Reais;50059468.0;3534401;Osasco (SP);2012;2012;37;Produto Interno Bruto a preços correntes;0.5885575842975391;85054494.81166309;Total
6;Município;40;Mil Reais;10532264.0;3534401;Osasco (SP);2012;2012;543;Impostos, líquidos de subsídios, sobre produtos a preços correntes;0.5885575842975391;17895044.225061797;Impostos
6;Município;40;Mil Reais;472.0;3534401;Osasco (SP);2012;2012;513;Valor adicionado bruto a preços correntes da agropecuária;0.5885575842975391;801.9606111496227;Agropecuária
6;Município;40;Mil Reais;2957274.0;3534401;Osasco (SP);2012;2012;517;Valor adicionado bruto a preços correntes da indústria;0.5885575842975391;5024612.84825612;Indústria
6;Município;40;Mil Reais;34558577.0;3534401;Osasco (SP);2012;2012;6575;Valor adicionado bruto a preços correntes dos serviços, exclusive administração, defesa, educação e saúde públicas e seguridade social;0.5885575842975391;58717410.0241129;Serviços
6;Município;40;Mil Reais;2010881.0;3534401;Osasco (SP);2012;2012;525;Valor adicionado bruto a preços correntes da administração, defesa, educação e saúde públicas e seguridade social;0.5885575842975391;3416625.7536211107;Administração
6;Município;40;Mil Reais;54335845.0;3534401;Osasco (SP);2013;2013;37;Produto Interno Bruto a preços correntes;0.6233413375295236;87168685.4835397;Total
6;Município;40;Mil Reais;12034551.0;3534401;Osasco (SP);2013;2013;543;Impostos, líquidos de subsídios, sobre produtos a preços correntes;0.6233413375295236;19306518.395998407;Impostos
6;Município;40;Mil Reais;584.0;3534401;Osasco (SP);2013;2013;513;Valor adicionado bruto a preços correntes da agropecuária;0.6233413375295236;936.8863652049063;Agropecuária
6;Município;40;Mil Reais;3218079.0;3534401;Osasco (SP);2013;2013;517;Valor adicionado bruto a preços correntes da indústria;0.6233413375295236;5162627.289815479;Indústria
6;Município;40;Mil Reais;36801292.0;3534401;Osasco (SP);2013;2013;6575;Valor adicionado bruto a preços correntes dos serviços, exclusive administração, defesa, educação e saúde públicas e seguridade social;0.6233413375295236;59038747.76836369;Serviços
6;Município;40;Mil Reais;2281339.0;3534401;Osasco (SP);2013;2013;525;Valor adicionado bruto a preços correntes da administração, defesa, educação e saúde públicas e seguridade social;0.6233413375295236;3659855.1429969105;Administração
6;Município;40;Mil Reais;60834520.0;3534401;Osasco (SP);2014;2014;37;Produto Interno Bruto a preços correntes;0.6632975172651661;91715283.73998153;Total
6;Município;40;Mil Reais;12510361.0;3534401;Osasco (SP);2014;2014;543;Impostos, líquidos de subsídios, sobre produtos a preços correntes;0.6632975172651661;18860859.078112215;Impostos
6;Município;40;Mil Reais;627.0;3534401;Osasco (SP);2014;2014;513;Valor adicionado bruto a preços correntes da agropecuária;0.6632975172651661;945.2771700174246;Agropecuária
6;Município;40;Mil Reais;3261690.0;3534401;Osasco (SP);2014;2014;517;Valor adicionado bruto a preços correntes da indústria;0.6632975172651661;4917386.112717916;Indústria
6;Município;40;Mil Reais;42563423.0;3534401;Osasco (SP);2014;2014;6575;Valor adicionado bruto a preços correntes dos serviços, exclusive administração, defesa, educação e saúde públicas e seguridade social;0.6632975172651661;64169429.090421945;Serviços
6;Município;40;Mil Reais;2498419.0;3534401;Osasco (SP);2014;2014;525;Valor adicionado bruto a preços correntes da administração, defesa, educação e saúde públicas e seguridade social;0.6632975172651661;3766664.1815594323;Administração
