ano;cnae_2_descricao_secao;saldo_movimentacao;salario_mensal
2011;Informação E Comunicação;583;1076.0681880555123
2011;Outras Atividades De Serviços;129;842.2577476677033
2011;Saúde Humana E Serviços Sociais;308;980.5569877919321
2011;Serviços Domésticos;0;549.635
2011;Transporte, Armazenagem E Correio;636;953.6211017628204
2011;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;18;1111.9719613259667
2012;Administração Pública, Defesa E Seguridade Social;-22;843.4272121262184
2012;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;3;547.0682352941176
2012;Alojamento E Alimentação;295;831.5735801642835
2012;Artes, Cultura, Esporte E Recreação;6;762.2450485436893
2012;Atividades Administrativas E Serviços Complementares;348;876.401202373785
2012;Atividades Financeiras, De Seguros E Serviços Relacionados;191;2282.418299669482
2012;Atividades Imobiliárias;54;1107.2470547945206
2012;Atividades Profissionais, Científicas E Técnicas;-35;1066.7762915686933
2012;"Comércio; Reparação De Veículos Automotores E Motocicletas";1034;964.899218861918
2012;Construção;973;854.5875201044745
2012;Educação;627;962.8970705064548
2012;Indústrias De Transformação;-736;1597.6305270188222
2012;Indústrias Extrativas;523;936.1996671289875
2012;Informação E Comunicação;-734;1554.0751329978432
2012;Outras Atividades De Serviços;-7;958.2406777437692
2012;Saúde Humana E Serviços Sociais;336;837.2464407540396
2012;Serviços Domésticos;-11;459.5914285714286
2012;Transporte, Armazenagem E Correio;594;1057.705977667095
2012;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;93;1236.0290620871863
2013;Administração Pública, Defesa E Seguridade Social;1036;963.1091569695469
2013;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;2;1044.5
2013;Alojamento E Alimentação;853;925.2567311657415
2013;Artes, Cultura, Esporte E Recreação;11;814.383452685422
2013;Atividades Administrativas E Serviços Complementares;472;954.6360610001677
2013;Atividades Financeiras, De Seguros E Serviços Relacionados;-39;2626.269906197655
2013;Atividades Imobiliárias;16;1129.6151960784314
2013;Atividades Profissionais, Científicas E Técnicas;213;1070.3412001437298
2013;"Comércio; Reparação De Veículos Automotores E Motocicletas";1563;1009.1378027533476
2013;Construção;670;861.7206507652006
2013;Educação;344;992.3845984703634
2013;Eletricidade E Gás;0;5190.0
2013;Indústrias De Transformação;-537;1799.1562766029324
2013;Indústrias Extrativas;19;1399.4057971014493
2013;Informação E Comunicação;-137;1362.4992676131087
2013;Organismos Internacionais E Outras Instituições Extraterritoriais;8;2125.328125
2013;Outras Atividades De Serviços;201;940.0125133521835
2013;Saúde Humana E Serviços Sociais;162;1195.3705203974896
2013;Serviços Domésticos;4;823.5
2013;Transporte, Armazenagem E Correio;184;1223.186376864051
2013;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;185;1137.4522927879439
2014;Administração Pública, Defesa E Seguridade Social;310;1178.3763002818346
2014;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;1;908.6363636363636
2014;Alojamento E Alimentação;-24;801.8480962555963
2014;Artes, Cultura, Esporte E Recreação;70;1203.186418918919
2014;Atividades Administrativas E Serviços Complementares;1393;962.3147675863784
2014;Atividades Financeiras, De Seguros E Serviços Relacionados;-133;2860.9333158486324
2014;Atividades Imobiliárias;-49;896.2741142020498
2014;Atividades Profissionais, Científicas E Técnicas;16;1261.1613592592591
2014;"Comércio; Reparação De Veículos Automotores E Motocicletas";1381;1156.1451491861765
2014;Construção;421;1023.5148744336072
2014;Educação;-270;1008.4781448911223
2014;Eletricidade E Gás;-1;10170.0
2014;Indústrias De Transformação;-811;1825.6155143843498
2014;Indústrias Extrativas;39;1589.2655737704918
2014;Informação E Comunicação;896;1458.6848199105145
2014;Organismos Internacionais E Outras Instituições Extraterritoriais;-23;2073.035087719298
2014;Outras Atividades De Serviços;-216;1136.1774184782607
2014;Saúde Humana E Serviços Sociais;159;1164.9320240727093
2014;Serviços Domésticos;4;791.9444444444445
2014;Transporte, Armazenagem E Correio;-291;1205.7785777287763
