ano;descricao_secao_cnae;quantidade_vinculos_ativos
2002;Agricultura, pecuária, silvicultura e exploração florestal;4
2002;Alojamento e alimentação;7760
2002;Atividades imobiliárias, aluguéis e serviços prestados às empresas;6136
2002;"Comércio; reparação de veículos automotores, objetos pessoais e domésticos";21466
2002;Construção;1446
2002;Educação;3468
2002;Indústrias de transformação;19692
2002;Indústrias extrativas;21
2002;Intermediação financeira, seguros, previdência complementar e serviços relacionados;11311
2002;Organismos internacionais e outras instituições extraterritoriais;0
2002;Outros serviços coletivos, sociais e pessoais;4701
2002;Pesca;0
2002;Produção e distribuição de eletricidade, gás e água;208
2002;Saúde e serviços sociais;1917
2002;Serviços domésticos;4
2002;Transporte, armazenagem e comunicações;10338
2003;Administração pública, defesa e seguridade social;12987
2003;Agricultura, pecuária, silvicultura e exploração florestal;37
2003;Alojamento e alimentação;5793
2003;Atividades imobiliárias, aluguéis e serviços prestados às empresas;6940
2003;"Comércio; reparação de veículos automotores, objetos pessoais e domésticos";22660
2003;Construção;1391
2003;Educação;3555
2003;Indústrias de transformação;18945
2003;Indústrias extrativas;16
2003;Intermediação financeira, seguros, previdência complementar e serviços relacionados;12432
2003;Organismos internacionais e outras instituições extraterritoriais;0
2003;Outros serviços coletivos, sociais e pessoais;4231
2003;Pesca;0
2003;Produção e distribuição de eletricidade, gás e água;243
2003;Saúde e serviços sociais;1985
2003;Serviços domésticos;7
2003;Transporte, armazenagem e comunicações;10476
2004;Administração pública, defesa e seguridade social;12083
2004;Agricultura, pecuária, silvicultura e exploração florestal;232
2004;Alojamento e alimentação;6546
2004;Atividades imobiliárias, aluguéis e serviços prestados às empresas;7966
2004;"Comércio; reparação de veículos automotores, objetos pessoais e domésticos";24007
2004;Construção;1725
2004;Educação;3735
2004;Indústrias de transformação;21909
2004;Indústrias extrativas;13
2004;Intermediação financeira, seguros, previdência complementar e serviços relacionados;12972
2004;Organismos internacionais e outras instituições extraterritoriais;0
2004;Outros serviços coletivos, sociais e pessoais;4200
2004;Pesca;0
2004;Produção e distribuição de eletricidade, gás e água;212
2004;Saúde e serviços sociais;1968
2004;Serviços domésticos;5
2004;Transporte, armazenagem e comunicações;10716
2005;Administração pública, defesa e seguridade social;15701
2005;Agricultura, pecuária, silvicultura e exploração florestal;233
2005;Alojamento e alimentação;7902
2005;Atividades imobiliárias, aluguéis e serviços prestados às empresas;8819
2005;"Comércio; reparação de veículos automotores, objetos pessoais e domésticos";25268
2005;Construção;2663
2005;Educação;3759
2005;Indústrias de transformação;22927
2005;Indústrias extrativas;11
2005;Intermediação financeira, seguros, previdência complementar e serviços relacionados;13210
2005;Organismos internacionais e outras instituições extraterritoriais;0
2005;Outros serviços coletivos, sociais e pessoais;4393
2005;Pesca;0
2005;Produção e distribuição de eletricidade, gás e água;199
2005;Saúde e serviços sociais;2465
2005;Serviços domésticos;0
2005;Transporte, armazenagem e comunicações;11095
2006;Administração Pública, Defesa E Seguridade Social;13162
2006;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;228
2006;Alojamento E Alimentação;8575
2006;Artes, Cultura, Esporte E Recreação;305
2006;Atividades Administrativas E Serviços Complementares;7454
2006;Atividades Financeiras, De Seguros E Serviços Relacionados;12592
2006;Atividades Imobiliárias;306
2006;Atividades Profissionais, Científicas E Técnicas;1636
2006;"Comércio; Reparação De Veículos Automotores E Motocicletas";28625
2006;Construção;3008
2006;Educação;4540
2006;Eletricidade E Gás;0
2006;Indústrias De Transformação;22267
2006;Indústrias Extrativas;95
2006;Informação E Comunicação;3401
2006;Organismos Internacionais E Outras Instituições Extraterritoriais;9
2006;Outras Atividades De Serviços;2226
2006;Saúde Humana E Serviços Sociais;2722
2006;Serviços Domésticos;10
2006;Transporte, Armazenagem E Correio;9543
2006;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;556
2007;Administração Pública, Defesa E Seguridade Social;16769
2007;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;17
2007;Alojamento E Alimentação;8857
2007;Artes, Cultura, Esporte E Recreação;218
2007;Atividades Administrativas E Serviços Complementares;9347
2007;Atividades Financeiras, De Seguros E Serviços Relacionados;12886
2007;Atividades Imobiliárias;329
2007;Atividades Profissionais, Científicas E Técnicas;1139
2007;"Comércio; Reparação De Veículos Automotores E Motocicletas";33118
2007;Construção;3640
2007;Educação;4629
2007;Eletricidade E Gás;2
2007;Indústrias De Transformação;23031
2007;Indústrias Extrativas;0
2007;Informação E Comunicação;4394
2007;Outras Atividades De Serviços;2313
2007;Saúde Humana E Serviços Sociais;2565
2007;Serviços Domésticos;11
2007;Transporte, Armazenagem E Correio;9931
2007;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;585
2008;Administração Pública, Defesa E Seguridade Social;16266
2008;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;28
2008;Alojamento E Alimentação;9804
2008;Artes, Cultura, Esporte E Recreação;264
