ano;cnae_2_descricao_secao;media_idade;variable
2011;Atividades Profissionais, Científicas E Técnicas;29.663396689147763;Admissões
2011;"Comércio; Reparação De Veículos Automotores E Motocicletas";27.545712578428443;Admissões
2011;Construção;32.8727641760751;Admissões
2011;Educação;30.680489101541735;Admissões
2011;Indústrias De Transformação;29.793912284529785;Admissões
2011;Informação E Comunicação;28.379931389365353;Admissões
2011;Outras Atividades De Serviços;30.42016806722689;Admissões
2011;Saúde Humana E Serviços Sociais;30.373895976447496;Admissões
2011;Serviços Domésticos;38.6;Admissões
2011;Transporte, Armazenagem E Correio;32.21927416895395;Admissões
2011;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;33.8;Admissões
2012;Administração Pública, Defesa E Seguridade Social;42.183051969546504;Admissões
2012;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;20.0;Admissões
2012;Alojamento E Alimentação;30.627615062761507;Admissões
2012;Artes, Cultura, Esporte E Recreação;27.67628205128205;Admissões
2012;Atividades Administrativas E Serviços Complementares;29.28692483687823;Admissões
2012;Atividades Financeiras, De Seguros E Serviços Relacionados;23.879890185312284;Admissões
2012;Atividades Imobiliárias;32.40243902439025;Admissões
2012;Atividades Profissionais, Científicas E Técnicas;29.460910944935417;Admissões
2012;"Comércio; Reparação De Veículos Automotores E Motocicletas";27.45412718836511;Admissões
2012;Construção;32.41476613838423;Admissões
2012;Educação;29.827622748145533;Admissões
2012;Indústrias De Transformação;29.862717681454175;Admissões
2012;Indústrias Extrativas;37.88102893890675;Admissões
2012;Informação E Comunicação;28.160662525879918;Admissões
2012;Outras Atividades De Serviços;30.337719298245613;Admissões
2012;Saúde Humana E Serviços Sociais;30.76126878130217;Admissões
2012;Serviços Domésticos;29.916666666666668;Admissões
2012;Transporte, Armazenagem E Correio;32.6123293973317;Admissões
2012;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;33.36235294117647;Admissões
2013;Administração Pública, Defesa E Seguridade Social;42.467775709632384;Admissões
2013;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;26.428571428571427;Admissões
2013;Alojamento E Alimentação;30.137292594091463;Admissões
2013;Artes, Cultura, Esporte E Recreação;27.885572139303484;Admissões
2013;Atividades Administrativas E Serviços Complementares;29.771844660194176;Admissões
2013;Atividades Financeiras, De Seguros E Serviços Relacionados;23.76917854718262;Admissões
2013;Atividades Imobiliárias;32.448113207547166;Admissões
2013;Atividades Profissionais, Científicas E Técnicas;29.16555407209613;Admissões
2013;"Comércio; Reparação De Veículos Automotores E Motocicletas";27.90508172843502;Admissões
2013;Construção;32.29098576700053;Admissões
2013;Educação;30.601363473268748;Admissões
2013;Eletricidade E Gás;34.0;Admissões
2013;Indústrias De Transformação;29.536455412226584;Admissões
2013;Indústrias Extrativas;35.38461538461539;Admissões
2013;Informação E Comunicação;28.84;Admissões
2013;Organismos Internacionais E Outras Instituições Extraterritoriais;30.166666666666668;Admissões
2013;Outras Atividades De Serviços;30.44326241134752;Admissões
2013;Saúde Humana E Serviços Sociais;30.03060712493728;Admissões
2013;Serviços Domésticos;40.8;Admissões
2013;Transporte, Armazenagem E Correio;31.75939419917131;Admissões
2013;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;32.692998204667866;Admissões
2014;Administração Pública, Defesa E Seguridade Social;40.002957121734845;Admissões
2014;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;27.833333333333332;Admissões
2014;Alojamento E Alimentação;26.280905752753977;Admissões
2014;Artes, Cultura, Esporte E Recreação;29.47129909365559;Admissões
2014;Atividades Administrativas E Serviços Complementares;29.175746091899573;Admissões
2014;Atividades Financeiras, De Seguros E Serviços Relacionados;23.949526813880126;Admissões
